ID	ACO1	ACO2	ACO3	ACO4	ACO5	AO1	AO2	AO3	AO4	AO5	B1	B2	B3	B4	B5	BO1	BO2	BO3	BO4	BO5	CO1	CO2	CO3	CO4	CO5	nCO1	nCO2	nCO3	nCO4	nCO5
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.15105	99.85701	99.9401	99.76839	99.60863	99.65226	100.0	99.43723	98.33807	100.0	100.0	99.98293	99.8384	99.97895	100.0	99.9831	99.86717	100.0	99.98871	99.9941
k__Bacteria|p__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44409	0.04448	0.0	0.0	0.0	0.01829	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44409	0.04448	0.0	0.0	0.0	0.01829	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44409	0.04448	0.0	0.0	0.0	0.01829	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44409	0.04448	0.0	0.0	0.0	0.01829	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44409	0.04448	0.0	0.0	0.0	0.01829	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	84.99942	88.23037	100.0	9.09174	54.30143	99.41731	77.19014	56.95737	67.47726	83.58938	85.28157	3.8703	17.21131	1.51545	19.71574	4.39499	0.34286	10.13239	58.72059	0.06251	8.21367	0.6796	19.66811	2.56962	3.08424	1.11079	8.7136	0.03562	1.18108	1.55288
k__Bacteria|p__Firmicutes|c__Bacilli	84.99942	88.23037	100.0	9.09174	54.30143	99.41731	77.19014	56.95737	67.47726	83.58938	85.28157	3.8703	17.21131	1.51545	19.71574	4.39499	0.34286	10.13239	58.72059	0.06251	8.21367	0.6796	19.66811	2.56962	3.08424	1.11079	8.7136	0.03562	1.18108	1.55288
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	84.99942	88.23037	100.0	9.09174	54.30143	99.41731	77.19014	56.95737	67.47726	83.58938	85.28157	3.8703	17.21131	1.51545	19.71574	4.39499	0.34286	10.13239	58.72059	0.06251	8.21367	0.6796	19.66811	2.56962	3.08424	1.11079	8.7136	0.03562	1.18108	1.55288
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	84.99942	3.16742	31.16886	3.20354	12.53819	75.87575	26.19954	41.54266	30.59242	11.34968	67.95947	2.48168	6.57768	1.51545	10.36298	2.52956	0.34286	5.7334	46.57186	0.00443	8.21367	0.37067	18.83214	1.42509	2.03202	0.22156	1.99386	0.0	0.24108	0.43052
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	84.99942	3.16742	31.16886	3.20354	12.53819	75.87575	26.19954	41.54266	30.59242	11.34968	67.95947	2.48168	6.57768	1.51545	10.36298	2.52956	0.34286	5.7334	46.57186	0.00443	8.21367	0.37067	18.83214	1.42509	2.03202	0.22156	1.99386	0.0	0.24108	0.43052
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	0.4226	0.0	0.0	0.0	0.0	4.98314	1.92854	0.0	0.0	2.3227	4.3986	0.37289	3.56156	0.0	1.74464	1.03478	0.0	2.07343	1.24132	0.0	0.0	0.21669	0.0	0.0	0.0	0.08269	0.5897	0.0	0.04053	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis|t__Lactobacillus_brevis_unclassified	0.4226	0.0	0.0	0.0	0.0	4.98314	1.92854	0.0	0.0	2.3227	4.3986	0.37289	3.56156	0.0	1.74464	1.03478	0.0	2.07343	1.24132	0.0	0.0	0.21669	0.0	0.0	0.0	0.08269	0.5897	0.0	0.04053	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	84.57682	3.16742	31.16886	3.20354	12.53819	70.89261	24.271	41.54266	30.59242	9.02698	63.56088	2.1088	3.01612	1.51545	8.61834	1.49478	0.34286	3.65997	45.33054	0.00443	8.21367	0.15398	18.83214	1.42509	2.03202	0.13887	1.40416	0.0	0.20055	0.43052
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum|t__Lactobacillus_plantarum_unclassified	84.57682	3.16742	31.16886	3.20354	12.53819	70.89261	24.271	41.54266	30.59242	9.02698	63.56088	2.1088	3.01612	1.51545	8.61834	1.49478	0.34286	3.65997	45.33054	0.00443	8.21367	0.15398	18.83214	1.42509	2.03202	0.13887	1.40416	0.0	0.20055	0.43052
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0.0	85.06296	68.83114	5.8882	41.76324	23.54155	50.9906	15.41471	36.88483	72.2397	17.3221	1.38862	10.63364	0.0	9.35275	1.86543	0.0	4.39899	12.14874	0.05808	0.0	0.30893	0.83597	1.14453	1.05221	0.88922	6.71974	0.03562	0.94	1.12236
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0.0	6.94554	0.0	0.0	0.0	5.33191	0.0	0.0	0.0	0.0	0.0	0.50103	0.0	0.0	2.6682	1.04321	0.0	1.91371	0.0	0.03382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
