clade_name	NCBI_tax_id	nCO5_A_R1	nCO4_A_R1	nCO3_A_R1	nCO2_A_R1	nCO1_A_R1	CO5_A_R1	CO4_A_R1	CO3_A_R1	CO2_A_R1	CO1_A_R2	CO1_A_R1	BO5_A_R1	BO4_A_R1	BO3_A_R1	BO2_A_R1	BO1_A_R1	B5_A_R1	B4_A_R1	B3_A_R1	B2_A_R1	B1_A_R1	AO5_A_R1	AO3_A_R1	AO2_A_R1	AO1_A_R1	ACO5_A_R1	ACO4_A_R1	ACO3_A_R1	ACO2_A_R1	ACO1_A_R1
Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	3.93399	2.8973299999999997	0	0	0	9.59257	0	0	0	1.7227	10.189589999999999	0	4.4305	1.6679400000000002	0	4.22222	6.10387	2.64835	1.48271	0	0.92037	0	0	0	0	0	0
Lactobacillus_paraplantarum	2|1239|91061|186826|33958|1578|60520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28186	0	0	0	0	0	0	0	0	0
Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	7.1344899999999996	8.04663	0	5.25438	4.24871	43.751999999999995	17.60565	55.68854	3.60273	30.7964	28.52964	0	42.96844	16.17683	5.2367	7.42213	9.634210000000001	5.99492	3.7880000000000003	29.56305	39.74035	3.06098	22.59496	10.520669999999999	31.162359999999996	0.95701	2.27211	8.34977	4.08824	100.0
Leuconostoc_pseudomesenteroides	2|1239|91061|186826|81850|1243|33968	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30453	0	1.61005	0.9820399999999999	0	0	0.8283799999999999	0	0	0	0	0	0	0	0	0.45677	0
Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6168100000000001	0	0	0	0	0	0	0	18.68208	0
Weissella_hellenica	2|1239|91061|186826|81850|46255|46256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34575	0
Weissella_minor	2|1239|91061|186826|81850|46255|1620	9.68117	20.52879	26.5412	6.73325	10.09799	0	0	0	0	0	0	0	0	0	0	0	0.63898	0	12.00327	2.05708	0	0	0	0	0	0	0	0	0	0
Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	56.0079	41.760290000000005	27.071240000000003	68.21424	50.33398	26.93416	48.0097	30.26134	67.44025	0	0	23.87858	48.63321	37.48806	16.1768	11.64109	62.0005	5.6919900000000005	28.258509999999998	31.878	52.95005	93.03344	74.21307	86.65907	68.83764000000001	90.0953	78.0818	91.65023000000001	68.46403000000001	0
Acetobacter_aceti	2|1224|28211|204441|433|434|435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36125999999999997	0	0	0	0	0	0	0	0	0	0	0
Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	47.86646	49.0354	0	0	0	39.987629999999996	0	0	30.83555	0	27.631240000000002	0	1.46635	0	0	0	0	0	0	0	0
Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	0	8.30212	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23263	0.6421600000000001	0	5.39257	0
Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	24.60418	25.65215	3.9258800000000003	15.86413	24.10639	29.313840000000003	33.72044	13.85009	16.78104	21.337139999999998	22.057129999999997	0	6.19489	34.40947	38.59887	74.89623	25.07633	57.47755	34.769909999999996	0	0.38058000000000003	0	3.19197	1.89989	0	1.7150599999999998	0	0	2.57055	0
Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	2.20092	0	0	0	0	0	0	0	0	0	0	42.67454	0	0	0	0	0	0	16.596829999999997	0.89976	3.30405	0.9565100000000001	0	0	0	0	19.00394	0	0	0
Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0.37134	4.0121400000000005	42.461690000000004	0	4.23252	0	0.6642100000000001	0.20002999999999999	2.5834200000000003	0	0.37783	25.14476	0	0	0	0	0	0	0	1.03864	0	0	0	0	0	0	0	0	0	0
Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	4.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces_cerevisiae	2759|4890|4891|4892|4893|4930|4932	0	0	0	0	0.04432	0	0	0	0	0	0	0	0.48076	0.43151999999999996	0	0	0	0	0	0	0.07795	0	0	0	0	0	0	0	0	0
