clade_name	NCBI_tax_id	nCO5_A_R2	nCO4_A_R2	nCO3_A_R2	nCO2_A_R2	nCO1_A_R2	CO5_A_R2	CO4_A_R2	CO3_A_R2	CO2_A_R2	CO1_A_R2	BO5_A_R2	BO4_A_R2	BO3_A_R2	BO2_A_R2	BO1_A_R2	B5_A_R2	B4_A_R2	B3_A_R2	B2_A_R2	B1_A_R2	AO5_A_R2	AO4_A_R2	AO3_A_R2	AO2_A_R2	AO1_A_R2	ACO5_A_R2	ACO4_A_R2	ACO3_A_R2	ACO2_A_R2	ACO1_A_R2
Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	3.96259	2.32092	0	0	0	8.653960000000001	0	0	2.20399	11.11972	0	4.72037	1.2465600000000001	0	4.82206	6.088080000000001	2.19508	1.31254	0	0	0.8035	0	0	0	0	0	0
Lactobacillus_paraplantarum	2|1239|91061|186826|33958|1578|60520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33138	0	0	0	0	0	0	0	0	0	0
Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	8.57143	7.14773	0	4.27976	4.4972199999999996	40.83914	17.560270000000003	55.357119999999995	2.91483	30.7964	0	43.8587	15.37793	3.7238900000000004	8.08569	11.377930000000001	4.94791	0.9341799999999999	28.649259999999998	40.105470000000004	2.70348	35.09145	22.13026	11.399980000000001	28.772470000000002	0.8969299999999999	3.04358	9.49467	5.6955800000000005	100.0
Leuconostoc_pseudomesenteroides	2|1239|91061|186826|81850|1243|33968	0	0	0	0	0	0	0	0	0	0	0	0	0.9655	0	1.25483	0	0	0	0.6691600000000001	0	0	0	0	0	0	0	0	0	0.9260700000000001	0
Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47921	0	0	0	0	0	0	0	0	19.68609	0
Weissella_hellenica	2|1239|91061|186826|81850|46255|46256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34665	0
Weissella_minor	2|1239|91061|186826|81850|46255|1620	9.113	18.29194	25.4106	6.728289999999999	10.40414	0	0	0	0	0	0	0	0	0	0	0	0	14.61465	1.7050900000000002	0.040010000000000004	0	0	0	0	0	0	0	0	0	0
Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	58.5369	47.21175	33.33318	67.4062	53.26036	31.83287	50.2091	30.55353	67.40101999999999	0	29.96108	47.53832	39.14555	18.70591	11.17409	64.08721	2.79608	31.19632	34.75168	53.53546	94.43683	55.8553	74.69572	85.9374	71.22753	87.61724	77.89539	90.50533	66.1654	0
Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	47.86646	0	0	0	38.771840000000005	0	0	34.111779999999996	0	26.343759999999996	0	0.82986	0	0	0	0	0	0	0	0	0
Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	9.13932	0	0	0	0	0	0	0	0	0	0	9.053239999999999	0	0	0	5.888240000000001	0.34131999999999996	0	5.07789	0
Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	23.36279	25.00882	0	17.623160000000002	23.1792	27.32798	32.23063	14.08935	18.92989	21.337139999999998	0	5.90292	33.3913	38.798359999999995	74.76501999999999	23.2883	58.14423000000001	33.35923	0	0.38733	0	0	3.17402	1.85912	0	5.59759	0	0	2.1023099999999997	0
Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	0.41588	0	0	0	0	0	0	0	0	0	46.32117	0	0	0	0	0	0	15.07356	0.24159	2.92607	0.71728	0	0	0	0	0	18.7197	0	0	0
Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0	2.33975	41.25622	0	3.4327099999999997	0	0	0	2.1003	0	14.578429999999999	0	0	0	0	0	0	0	1.5513700000000001	0	0	0	0	0	0	0	0	0	0	0
Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	2.90545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces_cerevisiae	2759|4890|4891|4892|4893|4930|4932	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
