clade_name	NCBI_tax_id	nCO5_B_R1	nCO4_B_R1	nCO3_B_R1	nCO2_B_R1	nCO1_B_R1	CO5_B_R1	CO4_B_R1	CO3_B_R1	CO2_B_R1	CO1_B_R1	BO4_B_R1	BO3_B_R1	BO2_B_R1	BO1_B_R1	B5_B_R1	B4_B_R1	B3_B_R1	B2_B_R1	B1_B_R1	AO4_B_R1	AO3_B_R1	AO2_B_R1	AO1_B_R1	ACO5_B_R1	ACO4_B_R1	ACO3_B_R1	ACO2_B_R1	ACO1_B_R1
Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	2.64889	2.30376	0	0	0	7.8124	0	0.27038	8.43464	0	2.55021	0	0	3.60189	6.539619999999999	2.9022200000000002	0	0	1.1583700000000001	0	0	0	0	0	0
Lactobacillus_paraplantarum	2|1239|91061|186826|33958|1578|60520	0	0	0	0	0	0	0	0.5120399999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	7.5042800000000005	6.20735	0	4.8781300000000005	4.09146	36.45897	18.10106	53.53719	4.75462	29.496170000000003	42.32986	15.423760000000001	0	6.800660000000001	8.27145	3.5196199999999997	0	30.556009999999997	41.0939	30.18566	21.31731	10.84783	28.380129999999998	0	3.73878	8.33725	0	100.0
Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52103	0	0	0	0	0	0	0	17.38712	0
Weissella_hellenica	2|1239|91061|186826|81850|46255|46256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52094	0
Weissella_minor	2|1239|91061|186826|81850|46255|1620	11.71563	23.5842	44.07156	6.44721	12.418510000000001	0	0	0	0	0	0	0	0	0	0	0	12.584430000000001	2.61512	0	0	0	0	0	0	0	0	0	0
Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	56.09366	39.0648	33.13902	69.71694000000001	53.12089	32.11997	47.112629999999996	31.349359999999997	69.05790999999999	0	51.02088	38.74511	26.86791	9.673589999999999	63.7342	0	28.839940000000002	32.4643	52.738890000000005	61.67643	74.09363	86.04734	71.61986999999999	93.67249	79.9499	91.66275	73.5482	0
Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	45.91217	0	0	0	0	0	36.56281	0	27.54908	0	0	0	0	0	0	0	0	0	0
Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	0	0	2.35902	0	0	0	0	0	0	8.13791	0	0	0	1.54768	0	0	5.37533	0
Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	24.25235	27.28797	7.55987	16.30883	23.75112	31.421059999999997	34.78631	14.601420000000001	18.37507	24.59166	6.37887	37.39649	1.73239	80.97554000000001	27.99435	59.91757	39.4431	0	0.52841	0	4.33039	1.9464700000000001	0	4.7798300000000005	0	0	3.1684099999999997	0
Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	0	0	0	0	0	0	0	0	0	0	0	0	66.17626	0	0	0	15.53064	0.27587	2.21555	0	0.25866999999999996	0	0	0	16.311329999999998	0	0	0
Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0.43408	3.85569	15.22955	0	0.77962	0	0	0	0	0	0	0	2.86441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	3.53464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
