#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_A_R1	nCO4_A_R1	nCO3_A_R1	nCO2_A_R1	nCO1_A_R1	CO5_A_R1	CO4_A_R1	CO3_A_R1	CO2_A_R1	CO1_A_R2	CO1_A_R1	BO5_A_R1	BO4_A_R1	BO3_A_R1	BO2_A_R1	BO1_A_R1	B5_A_R1	B4_A_R1	B3_A_R1	B2_A_R1	B1_A_R1	AO5_A_R1	AO3_A_R1	AO2_A_R1	AO1_A_R1	ACO5_A_R1	ACO4_A_R1	ACO3_A_R1	ACO2_A_R1	ACO1_A_R1
k__Bacteria	2	100.0	100.0	100.0	100.0	99.95568	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.51924	99.56848000000001	100.0	100.0	100.0	100.0	100.0	100.0	99.92205	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	2|1239	72.82356	70.33570999999999	53.61243	84.13587	67.57802	70.68616	65.61535	85.94988000000001	80.63554	30.7964	28.52964	23.87858	93.32435	65.15901	21.4135	25.10377	74.92367	11.686910000000001	48.27199	70.43036	96.23741	97.57713000000001	96.80803	98.10011	100.0	91.05230999999999	80.3539	100.0	92.03687	100.0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	72.82356	70.33570999999999	53.61243	84.13587	67.57802	70.68616	65.61535	85.94988000000001	80.63554	30.7964	28.52964	23.87858	93.32435	65.15901	21.4135	25.10377	74.92367	11.686910000000001	48.27199	70.43036	96.23741	97.57713000000001	96.80803	98.10011	100.0	91.05230999999999	80.3539	100.0	92.03687	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	72.82356	70.33570999999999	53.61243	84.13587	67.57802	70.68616	65.61535	85.94988000000001	80.63554	30.7964	28.52964	23.87858	93.32435	65.15901	21.4135	25.10377	74.92367	11.686910000000001	48.27199	70.43036	96.23741	97.57713000000001	96.80803	98.10011	100.0	91.05230999999999	80.3539	100.0	92.03687	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	7.1344899999999996	8.04663	0	9.18838	7.146039999999999	43.751999999999995	17.60565	55.68854	13.1953	30.7964	28.52964	0	44.691140000000004	26.36642	5.2367	11.85262	11.30215	5.99492	8.01021	35.666909999999994	42.670559999999995	4.54369	22.59496	11.44105	31.162359999999996	0.95701	2.27211	8.34977	4.08824	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	7.1344899999999996	8.04663	0	9.18838	7.146039999999999	43.751999999999995	17.60565	55.68854	13.1953	30.7964	28.52964	0	44.691140000000004	26.36642	5.2367	11.85262	11.30215	5.99492	8.01021	35.666909999999994	42.670559999999995	4.54369	22.59496	11.44105	31.162359999999996	0.95701	2.27211	8.34977	4.08824	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	3.93399	2.8973299999999997	0	0	0	9.59257	0	0	0	1.7227	10.189589999999999	0	4.4305	1.6679400000000002	0	4.22222	6.10387	2.64835	1.48271	0	0.92037	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paraplantarum	2|1239|91061|186826|33958|1578|60520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28186	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	7.1344899999999996	8.04663	0	5.25438	4.24871	43.751999999999995	17.60565	55.68854	3.60273	30.7964	28.52964	0	42.96844	16.17683	5.2367	7.42213	9.634210000000001	5.99492	3.7880000000000003	29.56305	39.74035	3.06098	22.59496	10.520669999999999	31.162359999999996	0.95701	2.27211	8.34977	4.08824	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	65.68907	62.289080000000006	53.61243	74.94749	60.43198	26.93416	48.0097	30.26134	67.44025	0	0	23.87858	48.63321	38.792590000000004	16.1768	13.25114	63.62152	5.6919900000000005	40.26178	34.76345	53.56686	93.03344	74.21307	86.65907	68.83764000000001	90.0953	78.0818	91.65023000000001	87.94863000000001	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	2|1239|91061|186826|81850|1243	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30453	0	1.61005	0.9820399999999999	0	0	0.8283799999999999	0	0	0	0	0	0	0	0	0.45677	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides	2|1239|91061|186826|81850|1243|33968	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30453	0	1.61005	0.9820399999999999	0	0	0.8283799999999999	0	0	0	0	0	0	0	0	0.45677	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	2|1239|91061|186826|81850|46255	65.68907	62.289080000000006	53.61243	74.94749	60.43198	26.93416	48.0097	30.26134	67.44025	0	0	23.87858	48.63321	37.48806	16.1768	11.64109	62.639480000000006	5.6919900000000005	40.26178	33.93507	53.56686	93.03344	74.21307	86.65907	68.83764000000001	90.0953	78.0818	91.65023000000001	87.49186	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6168100000000001	0	0	0	0	0	0	0	18.68208	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_hellenica	2|1239|91061|186826|81850|46255|46256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34575	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_minor	2|1239|91061|186826|81850|46255|1620	9.68117	20.52879	26.5412	6.73325	10.09799	0	0	0	0	0	0	0	0	0	0	0	0.63898	0	12.00327	2.05708	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	56.0079	41.760290000000005	27.071240000000003	68.21424	50.33398	26.93416	48.0097	30.26134	67.44025	0	0	23.87858	48.63321	37.48806	16.1768	11.64109	62.0005	5.6919900000000005	28.258509999999998	31.878	52.95005	93.03344	74.21307	86.65907	68.83764000000001	90.0953	78.0818	91.65023000000001	68.46403000000001	0
k__Bacteria|p__Proteobacteria	2|1224	27.176440000000003	29.66429	46.387570000000004	15.86413	32.37766	29.313840000000003	34.38465	14.050120000000001	19.36446	69.2036	71.47036	76.12142	6.19489	34.40947	78.5865	74.89623	25.07633	88.31309	51.72801	29.569640000000003	3.6846400000000004	2.42287	3.19197	1.89989	0	8.94769	19.6461	0	7.9631300000000005	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	27.176440000000003	29.66429	46.387570000000004	15.86413	28.33891	29.313840000000003	34.38465	14.050120000000001	19.36446	69.2036	71.47036	76.12142	6.19489	34.40947	78.5865	74.89623	25.07633	88.31309	51.72801	29.569640000000003	3.6846400000000004	2.42287	3.19197	1.89989	0	8.94769	19.6461	0	7.9631300000000005	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	26.8051	25.65215	3.9258800000000003	15.86413	24.10639	29.313840000000003	33.72044	13.85009	16.78104	69.2036	71.09253000000001	50.976659999999995	6.19489	34.40947	78.5865	74.89623	25.07633	88.31309	51.72801	28.531	3.6846400000000004	2.42287	3.19197	1.89989	0	8.94769	19.6461	0	7.9631300000000005	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	26.8051	25.65215	3.9258800000000003	15.86413	24.10639	29.313840000000003	33.72044	13.85009	16.78104	69.2036	71.09253000000001	50.976659999999995	6.19489	34.40947	78.5865	74.89623	25.07633	88.31309	51.72801	28.531	3.6846400000000004	2.42287	3.19197	1.89989	0	8.94769	19.6461	0	7.9631300000000005	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	2|1224|28211|204441|433|434	26.8051	25.65215	3.9258800000000003	15.86413	24.10639	29.313840000000003	33.72044	13.85009	16.78104	69.2036	71.09253000000001	50.976659999999995	6.19489	34.40947	78.5865	74.89623	25.07633	88.31309	51.72801	28.531	3.6846400000000004	2.42287	3.19197	1.89989	0	8.94769	19.6461	0	7.9631300000000005	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_aceti	2|1224|28211|204441|433|434|435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36125999999999997	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	47.86646	49.0354	0	0	0	39.987629999999996	0	0	30.83555	0	27.631240000000002	0	1.46635	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	0	8.30212	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23263	0.6421600000000001	0	5.39257	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	24.60418	25.65215	3.9258800000000003	15.86413	24.10639	29.313840000000003	33.72044	13.85009	16.78104	21.337139999999998	22.057129999999997	0	6.19489	34.40947	38.59887	74.89623	25.07633	57.47755	34.769909999999996	0	0.38058000000000003	0	3.19197	1.89989	0	1.7150599999999998	0	0	2.57055	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	2.20092	0	0	0	0	0	0	0	0	0	0	42.67454	0	0	0	0	0	0	16.596829999999997	0.89976	3.30405	0.9565100000000001	0	0	0	0	19.00394	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2|1224|28211|766	0.37134	4.0121400000000005	42.461690000000004	0	4.23252	0	0.6642100000000001	0.20002999999999999	2.5834200000000003	0	0.37783	25.14476	0	0	0	0	0	0	0	1.03864	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	2|1224|28211|766|942	0.37134	4.0121400000000005	42.461690000000004	0	4.23252	0	0.6642100000000001	0.20002999999999999	2.5834200000000003	0	0.37783	25.14476	0	0	0	0	0	0	0	1.03864	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	2|1224|28211|766|942|953	0.37134	4.0121400000000005	42.461690000000004	0	4.23252	0	0.6642100000000001	0.20002999999999999	2.5834200000000003	0	0.37783	25.14476	0	0	0	0	0	0	0	1.03864	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0.37134	4.0121400000000005	42.461690000000004	0	4.23252	0	0.6642100000000001	0.20002999999999999	2.5834200000000003	0	0.37783	25.14476	0	0	0	0	0	0	0	1.03864	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0	0	0	0	4.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0	0	0	0	4.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0	0	0	0	4.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	2|1224|1236|91347|1903414|581	0	0	0	0	4.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	4.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota	2759	0	0	0	0	0.04432	0	0	0	0	0	0	0	0.48076	0.43151999999999996	0	0	0	0	0	0	0.07795	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota	2759|4890	0	0	0	0	0.04432	0	0	0	0	0	0	0	0.48076	0.43151999999999996	0	0	0	0	0	0	0.07795	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0	0	0	0	0.04432	0	0	0	0	0	0	0	0.48076	0.43151999999999996	0	0	0	0	0	0	0.07795	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0	0	0	0	0.04432	0	0	0	0	0	0	0	0.48076	0.43151999999999996	0	0	0	0	0	0	0.07795	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2759|4890|4891|4892|4893	0	0	0	0	0.04432	0	0	0	0	0	0	0	0.48076	0.43151999999999996	0	0	0	0	0	0	0.07795	0	0	0	0	0	0	0	0	0
