#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_A_R2	nCO4_A_R2	nCO3_A_R2	nCO2_A_R2	nCO1_A_R2	CO5_A_R2	CO4_A_R2	CO3_A_R2	CO2_A_R2	CO1_A_R2	BO5_A_R2	BO4_A_R2	BO3_A_R2	BO2_A_R2	BO1_A_R2	B5_A_R2	B4_A_R2	B3_A_R2	B2_A_R2	B1_A_R2	AO5_A_R2	AO4_A_R2	AO3_A_R2	AO2_A_R2	AO1_A_R2	ACO5_A_R2	ACO4_A_R2	ACO3_A_R2	ACO2_A_R2	ACO1_A_R2
k__Bacteria	2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.50393000000001	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	2|1239	76.22133000000001	72.65143	58.74378000000001	82.37684	70.48263	72.67201999999999	67.76937	85.91065	78.96981	30.7964	29.96108	93.60101999999999	66.6087	22.4298	25.23498	76.7117	7.743989999999999	51.567209999999996	71.86328	96.68661	98.45286	90.94676	96.82598	98.14088000000001	100.0	88.51417	80.93897	100.0	92.8198	100.0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	76.22133000000001	72.65143	58.74378000000001	82.37684	70.48263	72.67201999999999	67.76937	85.91065	78.96981	30.7964	29.96108	93.60101999999999	66.6087	22.4298	25.23498	76.7117	7.743989999999999	51.567209999999996	71.86328	96.68661	98.45286	90.94676	96.82598	98.14088000000001	100.0	88.51417	80.93897	100.0	92.8198	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	76.22133000000001	72.65143	58.74378000000001	82.37684	70.48263	72.67201999999999	67.76937	85.91065	78.96981	30.7964	29.96108	93.60101999999999	66.6087	22.4298	25.23498	76.7117	7.743989999999999	51.567209999999996	71.86328	96.68661	98.45286	90.94676	96.82598	98.14088000000001	100.0	88.51417	80.93897	100.0	92.8198	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	8.57143	7.14773	0	8.242339999999999	6.81813	40.83914	17.560270000000003	55.357119999999995	11.56879	30.7964	0	46.06269	26.49765	3.7238900000000004	12.80606	12.62449	4.94791	5.75624	34.73734	42.63193	4.016030000000001	35.09145	22.13026	12.20348	28.772470000000002	0.8969299999999999	3.04358	9.49467	5.6955800000000005	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	8.57143	7.14773	0	8.242339999999999	6.81813	40.83914	17.560270000000003	55.357119999999995	11.56879	30.7964	0	46.06269	26.49765	3.7238900000000004	12.80606	12.62449	4.94791	5.75624	34.73734	42.63193	4.016030000000001	35.09145	22.13026	12.20348	28.772470000000002	0.8969299999999999	3.04358	9.49467	5.6955800000000005	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	3.96259	2.32092	0	0	0	8.653960000000001	0	0	2.20399	11.11972	0	4.72037	1.2465600000000001	0	4.82206	6.088080000000001	2.19508	1.31254	0	0	0.8035	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paraplantarum	2|1239|91061|186826|33958|1578|60520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33138	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	8.57143	7.14773	0	4.27976	4.4972199999999996	40.83914	17.560270000000003	55.357119999999995	2.91483	30.7964	0	43.8587	15.37793	3.7238900000000004	8.08569	11.377930000000001	4.94791	0.9341799999999999	28.649259999999998	40.105470000000004	2.70348	35.09145	22.13026	11.399980000000001	28.772470000000002	0.8969299999999999	3.04358	9.49467	5.6955800000000005	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	67.6499	65.5037	58.74378000000001	74.13449	63.6645	31.83287	50.2091	30.55353	67.40101999999999	0	29.96108	47.53832	40.11105	18.70591	12.42892	64.08721	2.79608	45.810959999999994	37.12594	54.054680000000005	94.43683	55.8553	74.69572	85.9374	71.22753	87.61724	77.89539	90.50533	87.12422	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	2|1239|91061|186826|81850|1243	0	0	0	0	0	0	0	0	0	0	0	0	0.9655	0	1.25483	0	0	0	0.6691600000000001	0	0	0	0	0	0	0	0	0	0.9260700000000001	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides	2|1239|91061|186826|81850|1243|33968	0	0	0	0	0	0	0	0	0	0	0	0	0.9655	0	1.25483	0	0	0	0.6691600000000001	0	0	0	0	0	0	0	0	0	0.9260700000000001	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	2|1239|91061|186826|81850|46255	67.6499	65.5037	58.74378000000001	74.13449	63.6645	31.83287	50.2091	30.55353	67.40101999999999	0	29.96108	47.53832	39.14555	18.70591	11.17409	64.08721	2.79608	45.810959999999994	36.45677	54.054680000000005	94.43683	55.8553	74.69572	85.9374	71.22753	87.61724	77.89539	90.50533	86.19814000000001	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47921	0	0	0	0	0	0	0	0	19.68609	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_hellenica	2|1239|91061|186826|81850|46255|46256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34665	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_minor	2|1239|91061|186826|81850|46255|1620	9.113	18.29194	25.4106	6.728289999999999	10.40414	0	0	0	0	0	0	0	0	0	0	0	0	14.61465	1.7050900000000002	0.040010000000000004	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	58.5369	47.21175	33.33318	67.4062	53.26036	31.83287	50.2091	30.55353	67.40101999999999	0	29.96108	47.53832	39.14555	18.70591	11.17409	64.08721	2.79608	31.19632	34.75168	53.53546	94.43683	55.8553	74.69572	85.9374	71.22753	87.61724	77.89539	90.50533	66.1654	0
k__Bacteria|p__Proteobacteria	2|1224	23.77867	27.348570000000002	41.25622	17.623160000000002	29.51737	27.32798	32.23063	14.08935	21.03019	69.2036	70.03891999999999	5.90292	33.3913	77.5702	74.76501999999999	23.2883	92.25601	48.432790000000004	28.13672	3.31339	1.54714	9.053239999999999	3.17402	1.85912	0	11.48583	19.06103	0	7.1802	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	23.77867	27.348570000000002	41.25622	17.623160000000002	26.61192	27.32798	32.23063	14.08935	21.03019	69.2036	70.03891999999999	5.90292	33.3913	77.5702	74.76501999999999	23.2883	92.25601	48.432790000000004	28.13672	3.31339	1.54714	9.053239999999999	3.17402	1.85912	0	11.48583	19.06103	0	7.1802	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	23.77867	25.00882	0	17.623160000000002	23.1792	27.32798	32.23063	14.08935	18.92989	69.2036	55.4605	5.90292	33.3913	77.5702	74.76501999999999	23.2883	92.25601	48.432790000000004	26.58535	3.31339	1.54714	9.053239999999999	3.17402	1.85912	0	11.48583	19.06103	0	7.1802	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	23.77867	25.00882	0	17.623160000000002	23.1792	27.32798	32.23063	14.08935	18.92989	69.2036	55.4605	5.90292	33.3913	77.5702	74.76501999999999	23.2883	92.25601	48.432790000000004	26.58535	3.31339	1.54714	9.053239999999999	3.17402	1.85912	0	11.48583	19.06103	0	7.1802	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	2|1224|28211|204441|433|434	23.77867	25.00882	0	17.623160000000002	23.1792	27.32798	32.23063	14.08935	18.92989	69.2036	55.4605	5.90292	33.3913	77.5702	74.76501999999999	23.2883	92.25601	48.432790000000004	26.58535	3.31339	1.54714	9.053239999999999	3.17402	1.85912	0	11.48583	19.06103	0	7.1802	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	47.86646	0	0	0	38.771840000000005	0	0	34.111779999999996	0	26.343759999999996	0	0.82986	0	0	0	0	0	0	0	0	0
