#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_B_R1	nCO4_B_R1	nCO3_B_R1	nCO2_B_R1	nCO1_B_R1	CO5_B_R1	CO4_B_R1	CO3_B_R1	CO2_B_R1	CO1_B_R1	BO4_B_R1	BO3_B_R1	BO2_B_R1	BO1_B_R1	B5_B_R1	B4_B_R1	B3_B_R1	B2_B_R1	B1_B_R1	AO4_B_R1	AO3_B_R1	AO2_B_R1	AO1_B_R1	ACO5_B_R1	ACO4_B_R1	ACO3_B_R1	ACO2_B_R1	ACO1_B_R1
k__Bacteria	2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	2|1239	75.31357	68.85634	77.21058000000001	83.69117	71.93462	68.57894	65.21369	85.39858000000001	81.62493	29.496170000000003	93.62113000000001	62.60351	26.86791	19.02446	72.00565	3.5196199999999997	45.02626	72.17505	97.25604	91.86209000000001	95.41094	98.05353000000001	100.0	93.67249	83.68867	100.0	91.45626	100.0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	75.31357	68.85634	77.21058000000001	83.69117	71.93462	68.57894	65.21369	85.39858000000001	81.62493	29.496170000000003	93.62113000000001	62.60351	26.86791	19.02446	72.00565	3.5196199999999997	45.02626	72.17505	97.25604	91.86209000000001	95.41094	98.05353000000001	100.0	93.67249	83.68867	100.0	91.45626	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	75.31357	68.85634	77.21058000000001	83.69117	71.93462	68.57894	65.21369	85.39858000000001	81.62493	29.496170000000003	93.62113000000001	62.60351	26.86791	19.02446	72.00565	3.5196199999999997	45.02626	72.17505	97.25604	91.86209000000001	95.41094	98.05353000000001	100.0	93.67249	83.68867	100.0	91.45626	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	7.5042800000000005	6.20735	0	7.527019999999999	6.395230000000001	36.45897	18.10106	54.04923	12.56703	29.496170000000003	42.60025	23.8584	0	9.35087	8.27145	3.5196199999999997	3.60189	37.09563	43.99613	30.18566	21.31731	12.00619	28.380129999999998	0	3.73878	8.33725	0	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	7.5042800000000005	6.20735	0	7.527019999999999	6.395230000000001	36.45897	18.10106	54.04923	12.56703	29.496170000000003	42.60025	23.8584	0	9.35087	8.27145	3.5196199999999997	3.60189	37.09563	43.99613	30.18566	21.31731	12.00619	28.380129999999998	0	3.73878	8.33725	0	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	2.64889	2.30376	0	0	0	7.8124	0	0.27038	8.43464	0	2.55021	0	0	3.60189	6.539619999999999	2.9022200000000002	0	0	1.1583700000000001	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paraplantarum	2|1239|91061|186826|33958|1578|60520	0	0	0	0	0	0	0	0.5120399999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	7.5042800000000005	6.20735	0	4.8781300000000005	4.09146	36.45897	18.10106	53.53719	4.75462	29.496170000000003	42.32986	15.423760000000001	0	6.800660000000001	8.27145	3.5196199999999997	0	30.556009999999997	41.0939	30.18566	21.31731	10.84783	28.380129999999998	0	3.73878	8.33725	0	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	67.80929	62.648990000000005	77.21058000000001	76.16415	65.5394	32.11997	47.112629999999996	31.349359999999997	69.05790999999999	0	51.02088	38.74511	26.86791	9.673589999999999	63.7342	0	41.42437	35.07942	53.259919999999994	61.67643	74.09363	86.04734	71.61986999999999	93.67249	79.9499	91.66275	91.45626	0
