#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_B_R2	nCO4_B_R2	nCO3_B_R2	nCO2_B_R2	nCO1_B_R2	CO5_B_R2	CO4_B_R2	CO3_B_R2	CO2_B_R2	CO1_B_R2	BO4_B_R2	BO2_B_R2	BO1_B_R2	B4_B_R2	B3_B_R2	B2_B_R2	B1_B_R2	AO5_B_R2	AO4_B_R2	AO3_B_R2	AO2_B_R2	AO1_B_R2	ACO5_B_R2	ACO4_B_R2	ACO3_B_R2	ACO2_B_R2	ACO1_B_R2
k__Bacteria	2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	2|1239	79.56345	72.85773	71.82454	84.73923	73.02898	65.50398	68.34328000000001	87.15629	82.4916	27.975240000000003	94.00839	20.162020000000002	21.55875	3.14531	48.64053	71.29983	97.24965	97.58805	92.02139	96.14274	98.4145	100.0	90.78515	78.35583000000001	100.0	93.74649000000001	100.0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	79.56345	72.85773	71.82454	84.73923	73.02898	65.50398	68.34328000000001	87.15629	82.4916	27.975240000000003	94.00839	20.162020000000002	21.55875	3.14531	48.64053	71.29983	97.24965	97.58805	92.02139	96.14274	98.4145	100.0	90.78515	78.35583000000001	100.0	93.74649000000001	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	79.56345	72.85773	71.82454	84.73923	73.02898	65.50398	68.34328000000001	87.15629	82.4916	27.975240000000003	94.00839	20.162020000000002	21.55875	3.14531	48.64053	71.29983	97.24965	97.58805	92.02139	96.14274	98.4145	100.0	90.78515	78.35583000000001	100.0	93.74649000000001	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	6.40142	6.646710000000001	0	6.00549	6.619789999999999	33.23388	19.05133	55.0942	12.52696	27.975240000000003	41.91703	0.75566	10.165389999999999	2.74427	4.21556	36.475390000000004	43.77565	5.00471	34.30415	22.75451	11.73847	26.3587	0	1.0796299999999999	7.87621	0.94765	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	6.40142	6.646710000000001	0	6.00549	6.619789999999999	33.23388	19.05133	55.0942	12.52696	27.975240000000003	41.91703	0.75566	10.165389999999999	2.74427	4.21556	36.475390000000004	43.77565	5.00471	34.30415	22.75451	11.73847	26.3587	0	1.0796299999999999	7.87621	0.94765	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_brevis	2|1239|91061|186826|33958|1578|1580	0	0	0	1.17162	2.5145	0	0	0	7.74683	0	0.27837	0	2.9405900000000003	0	3.14929	5.444369999999999	3.3993	0.32037	0	0	0.70801	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	2|1239|91061|186826|33958|1578|1590	6.40142	6.646710000000001	0	4.83387	4.10529	33.23388	19.05133	55.0942	4.780130000000001	27.975240000000003	41.638659999999994	0.75566	7.2248	2.74427	1.06627	31.03102	40.37635	4.68434	34.30415	22.75451	11.03047	26.3587	0	1.0796299999999999	7.87621	0.94765	100.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	73.16202	66.21101999999999	71.82454	78.73374	66.40919	32.2701	49.291959999999996	32.062090000000005	69.96464	0	52.091359999999995	19.40636	11.393369999999999	0.40103	44.42496	34.82444	53.474	92.58334	57.717240000000004	73.38823000000001	86.67603000000001	73.6413	90.78515	77.27620999999999	92.12379	92.79884	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	2|1239|91061|186826|81850|1243	0	0	0	0	0	0	0	0	0	0	0	0	0.20992	0	0	0	0	0	0	0	0	0	0	0	0	1.3768200000000002	0
